AC_NO,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,CAND_EDU,CAND_PARTY,CRIMINAL_CASE,TOTAL_ASSET,TOTAL_LIB,PAN,ITR_FILED,TOTAL_VALID_VOTES,POSITION
53,Adarsh Nagar,GEN,ABDUL LATEEF,M,GEN,43,Not Given,IND,0,15000,0,No,No,132,20
53,Adarsh Nagar,GEN,ABDUL RASHEED,M,GEN,31,8th Pass,IND,0,26000,0,Yes,No,91,24
53,Adarsh Nagar,GEN,AHASAN AHMAD,M,GEN,40,5th Pass,IND,0,631500,31000,Yes,No,956,7
53,Adarsh Nagar,GEN,ARVIND GUPTA ALIAS RAHUL GUPTA,M,GEN,27,10th Pass,JGP,0,610944,0,No,No,449,11
53,Adarsh Nagar,GEN,ASHOK PARNAMI,M,GEN,59,Graduate,BJP,0,266111348,169065542,Yes,Yes,70201,1
53,Adarsh Nagar,GEN,BABA RIZWAN QURSHI,M,GEN,29,10th Pass,AIFB,0,0,0,No,No,93,23
53,Adarsh Nagar,GEN,BIMLESH AGARWAL,M,GEN,51,8th Pass,IND,0,34800226,6054433,Yes,Yes,785,8
53,Adarsh Nagar,GEN,DR. ZAKIRA SULTANA,F,GEN,29,Graduate Professional,BYS,0,317000,0,Yes,Yes,104,21
53,Adarsh Nagar,GEN,DURGA SINGH,M,GEN,49,8th Pass,NPEP,0,361307,15000,No,No,1922,3
53,Adarsh Nagar,GEN,GOUTAM SHARMA,M,GEN,30,Literate,IND,0,55000,0,Yes,No,1050,5
53,Adarsh Nagar,GEN,HAJI MOHD. TAHIR KHAN,M,GEN,35,8th Pass,IND,0,91700,0,No,No,151,18
53,Adarsh Nagar,GEN,HASAN RAZA,M,GEN,46,Graduate Professional,BSP,0,6032278,30000,Yes,No,595,10
53,Adarsh Nagar,GEN,MAHIR AZAD,M,GEN,56,Post Graduate,INC,0,42948000,1950000,Yes,Yes,66398,2
53,Adarsh Nagar,GEN,MO. ABDULAA,M,GEN,31,5th Pass,IND,0,45200,0,No,No,440,12
53,Adarsh Nagar,GEN,MO. IDRISH,M,GEN,35,8th Pass,IND,0,851200,0,Yes,Yes,1018,6
53,Adarsh Nagar,GEN,MO. YUSUF (RAJA BABU),M,GEN,43,Literate,IND,0,2147000,0,No,No,271,15
53,Adarsh Nagar,GEN,MOHAMMAD NASEEM ANSARI,M,GEN,34,Literate,IPGP,0,231000,0,Yes,Yes,84,27
53,Adarsh Nagar,GEN,MOHAMMAD SALIM,M,GEN,54,8th Pass,BHBP,0,2236000,0,Yes,No,49,33
53,Adarsh Nagar,GEN,MOHD. SHAMIM,M,GEN,47,Literate,IND,0,441000,0,Yes,Yes,206,16
53,Adarsh Nagar,GEN,MUSTAK,M,GEN,46,Literate,IND,0,239789,0,Yes,No,80,28
53,Adarsh Nagar,GEN,NATAWAR LAL GARG,M,GEN,38,5th Pass,IND,1,510116,0,No,No,75,29
53,Adarsh Nagar,GEN,RAJENDER BISHNOI,M,GEN,43,Graduate,IND,0,600000,0,Yes,Yes,99,22
53,Adarsh Nagar,GEN,RAM PRASAD SHARMA,M,GEN,41,8th Pass,IND,0,2090000,0,Yes,Yes,63,31
53,Adarsh Nagar,GEN,RIYAZUL HASAN,M,GEN,39,8th Pass,IND,0,1692752,0,Yes,No,63,32
53,Adarsh Nagar,GEN,SABIR KHAN,M,GEN,52,5th Pass,SP,0,1880000,0,Yes,No,161,17
53,Adarsh Nagar,GEN,SARITA JAIN,F,GEN,44,Graduate,BRSP,0,45600,0,No,No,90,25
53,Adarsh Nagar,GEN,SAURABH CHHAJER (JAIN),M,GEN,29,10th Pass,IND,0,475000,955000,Yes,Yes,662,9
53,Adarsh Nagar,GEN,SITARAM JAISWAL,M,GEN,55,Literate,IND,0,135000,0,No,No,367,14
53,Adarsh Nagar,GEN,SUNNY NAKWAL,M,SC,27,Graduate,IND,0,35000,0,No,No,437,13
53,Adarsh Nagar,GEN,TEJ RAM BAIRWA,M,SC,50,Literate,MEDP,0,1108000,0,No,No,146,19
53,Adarsh Nagar,GEN,YOGESH,M,GEN,29,Literate,IND,4,161000,0,Yes,Yes,75,30
53,Adarsh Nagar,GEN,YOGESH KUMAR SHARMA,M,GEN,63,8th Pass,IND,0,85000,0,No,No,86,26
141,Ahore,GEN,AJAYPAL SINGH,M,GEN,31,10th Pass,IND,0,3185000,30000,Yes,Yes,1183,13
141,Ahore,GEN,BHANWAR LAL,M,SC,52,5th Pass,BNNP,0,901000,0,Yes,Yes,682,16
141,Ahore,GEN,CHAGANLAL,M,SC,56,8th Pass,HJP,0,107500,0,No,No,515,20
141,Ahore,GEN,CHELA RAM,M,SC,46,Literate,IND,0,1907000,4000,Yes,Yes,1387,11
141,Ahore,GEN,DINESH KUMAR,M,SC,29,10th Pass,BA S D,0,122000,0,No,No,604,19
141,Ahore,GEN,FUSARAM,M,SC,53,Literate,IND,0,926000,0,Yes,Yes,2701,5
141,Ahore,GEN,GANPAT,M,GEN,35,8th Pass,IND,0,1037000,155000,Yes,Yes,669,18
141,Ahore,GEN,GENARAM MEGHWAL,M,SC,29,Graduate,IND,0,100000,0,No,No,1923,7
141,Ahore,GEN,HADMANARAM,M,GEN,45,8th Pass,NPEP,0,3230000,1500000,Yes,No,4396,3
141,Ahore,GEN,HANUMANA RAM,M,ST,64,10th Pass,IND,0,2179000,0,No,No,1608,9
141,Ahore,GEN,INDRA KANWAR,F,GEN,36,8th Pass,JGP,0,801000,0,Yes,No,1258,12
141,Ahore,GEN,JITENDRA KUMAR,M,GEN,28,10th Pass,IND,0,1701000,0,Yes,Yes,1910,8
141,Ahore,GEN,KAILASH KUMAR PARMAR,M,SC,25,12th Pass,IND,0,2360000,5000,No,No,471,21
141,Ahore,GEN,LADA RAM,M,GEN,40,5th Pass,IND,0,227000,0,No,No,385,23
141,Ahore,GEN,MALAM SINGH,M,GEN,31,Graduate,BSP,0,2114246,530000,Yes,Yes,2365,6
141,Ahore,GEN,MANGILAL,M,SC,45,8th Pass,IND,0,591000,125000,Yes,Yes,865,15
141,Ahore,GEN,MOHAN LAL,M,GEN,60,5th Pass,IND,0,3380000,0,Yes,Yes,3541,4
141,Ahore,GEN,SAKHA RAM,M,SC,50,5th Pass,AAP,0,2563000,40000,No,No,1472,10
141,Ahore,GEN,SAVARAM PATEL,M,GEN,48,Graduate Professional,INC,0,3037638,0,No,No,48656,2
141,Ahore,GEN,SHAKUR BHAI,M,GEN,52,Literate,IND,0,2850100,0,Yes,Yes,402,22
141,Ahore,GEN,SHANKAR SINGH RAJPUROHIT,M,GEN,53,12th Pass,BJP,0,13715932,4257541,Yes,No,57808,1
100,Ajmer North,GEN,KAILASH CHAND SHARMA,M,GEN,46,Graduate,IND,0,13356260,2000000,Yes,Yes,666,5
